product_name,craft_category,craft_type,primary_material,crafting_time,size_complexity,artisan_region,utility_type,target_demographic,actual_price,price_range,source_url
Handwoven Sikki Grass Coaster Set of 6,Bamboo & Cane,Sikki Grass Craft,Sikki Grass,Unknown,Small/Miniature,Bihar,Kitchenware & Utility,Unknown,320,,https://www.tribesindia.com/product/sikki-grass-coaster-set
Handcrafted Bamboo Pen Stand Holder,Bamboo & Cane,Bamboo Craft,Bamboo,Unknown,Small/Miniature,Nagaland,Kitchenware & Utility,Unknown,240,,https://www.tribesindia.com/product/bamboo-pen-stand-holder
Handpainted Terracotta Elephant Planter,Pottery & Terracotta,Clay Pottery,Terracotta Clay,Unknown,Medium/Standard,Rajasthan,Home Decor / Exhibition,Unknown,680,,https://www.tribesindia.com/product/terracotta-elephant-planter
Handcrafted Clay Water Jug Pitcher,Pottery & Terracotta,Clay Pottery,Terracotta Clay,Unknown,Medium/Standard,Gujarat,Kitchenware & Utility,Unknown,520,,https://www.tribesindia.com/product/clay-water-jug-pitcher
Handpainted Terracotta Hanging Bells Set,Pottery & Terracotta,Clay Craft,Terracotta Clay,Unknown,Small/Miniature,West Bengal,Home Decor / Exhibition,Unknown,410,,https://www.tribesindia.com/product/terracotta-hanging-bells-set
Traditional Black Clay Dinner Plate Set,Pottery & Terracotta,Black Pottery,Black Clay,Unknown,Medium/Standard,Manipur,Kitchenware & Utility,Unknown,850,,https://www.tribesindia.com/product/black-clay-dinner-plate-set
Handcrafted Khurja Ceramic Tea Cup Set,Pottery & Terracotta,Khurja Pottery,Ceramic Clay,Unknown,Small/Miniature,Uttar Pradesh,Kitchenware & Utility,Unknown,620,,https://www.tribesindia.com/product/khurja-ceramic-tea-cup-set
Handcrafted Shola Pith Flower Decorative Bouquet,Other Handicrafts,Sholapith Craft,Shola Plant Reed,Unknown,Medium/Standard,West Bengal,Festive & Ritual,Unknown,480,,https://www.tribesindia.com/product/shola-pith-flower-bouquet
Traditional Lippan Kaam Mirror Work Mud Panel,Other Handicrafts,Lippan Art,Mud Clay & Mirrors,Unknown,Medium/Standard,Gujarat,Home Decor / Exhibition,Unknown,1650,,https://www.tribesindia.com/product/lippan-kaam-mirror-mud-panel
Handcrafted Leather Puppet Shadow Art Wall Hanging,Other Handicrafts,Tholu Bommalata,Goat Leather & Dyes,Unknown,Medium/Standard,Andhra Pradesh,Home Decor / Exhibition,Unknown,1250,,https://www.tribesindia.com/product/leather-puppet-shadow-art
Handwoven Jute Area Floor Dhurrie Mat,Other Handicrafts,Jute Weaving,Jute & Cotton,Unknown,Large/Display,Rajasthan,Home Decor / Exhibition,Unknown,1850,,https://www.tribesindia.com/product/jute-area-floor-dhurrie-mat
Handcrafted Coconut Shell Sugar Bowl with Spoon,Other Handicrafts,Coconut Shell Craft,Coconut Shell,Unknown,Small/Miniature,Kerala,Kitchenware & Utility,Unknown,360,,https://www.tribesindia.com/product/coconut-shell-sugar-bowl
Handcrafted Sea Shell Decorative Lamp,Other Handicrafts,Shell Craft,Sea Shells,Unknown,Medium/Standard,Andaman & Nicobar,Home Decor / Exhibition,Unknown,950,,https://www.tribesindia.com/product/sea-shell-decorative-lamp
Handcrafted Marble Inlay Decorative Coaster Set,Other Handicrafts,Pietra Dura Inlay,White Marble & Semi-Precious Stones,Unknown,Small/Miniature,Uttar Pradesh,Kitchenware & Utility,Unknown,1400,,https://www.tribesindia.com/product/marble-inlay-decorative-coaster-set
