product_name,craft_category,craft_type,primary_material,crafting_time,size_complexity,artisan_region,utility_type,target_demographic,actual_price,price_range,source_url
Tribal Elegance Jute Clutch Purse,Other Handicrafts,Jute Craft & Embroidery,Jute Fiber,Unknown,Small/Miniature,West Bengal,Wearable Fashion,Unknown,431,,https://www.tribesindia.com/product/tribal-elegance-jute-clutch-purse
Handcrafted Banana Fiber Card Holder Clutch,Other Handicrafts,Banana Fiber Weaving,Banana Fiber,Unknown,Small/Miniature,South India,Wearable Fashion,Unknown,1100,,https://www.tribesindia.com/product/banana-fiber-card-holder-clutch
Handmade Gond Paper Painting,Folk Painting & Tribal Art,Gond Painting,Handmade Paper & Natural Colors,Unknown,Medium/Standard,Madhya Pradesh,Home Decor / Exhibition,Unknown,1038,,https://www.tribesindia.com/product/handmade-gond-paper-painting
Handmade Kartik Swami Bell Metal Statue,Metalwork & Brassware,Dhokra Casting,Bell Metal,Unknown,Large/Display,Chhattisgarh,Home Decor / Exhibition,Unknown,10725,,https://www.tribesindia.com/product/handmade-kartik-swami-statue
Red Sandalwood Bracelet 16 MM,Woodcraft,Wood Carving & Beading,Red Sandalwood,Unknown,Small/Miniature,Andhra Pradesh,Wearable Fashion,Unknown,1247,,https://www.cottageemporium.in/product/red-sandalwood-bracelet-16mm
Handloom Chanderi Silk Saree with Zari Border,Handloom Textiles,Chanderi Weaving,Silk & Cotton,Unknown,Large/Display,Madhya Pradesh,Wearable Fashion,Unknown,4500,,https://www.tribesindia.com/product/handloom-chanderi-silk-saree
Handloom Pure Pashmina Wool Shawl,Handloom Textiles,Pashmina Weaving,Pashmina Wool,Unknown,Medium/Standard,Jammu & Kashmir,Wearable Fashion,Unknown,8500,,https://www.tribesindia.com/product/pure-pashmina-wool-shawl
Handloom Banarasi Silk Saree with Brocade,Handloom Textiles,Banarasi Weaving,Silk & Zari,Unknown,Large/Display,Uttar Pradesh,Wearable Fashion,Unknown,12500,,https://www.tribesindia.com/product/banarasi-silk-brocade-saree
Hand-printed Block Print Cotton Dupatta,Handloom Textiles,Block Printing,Cotton,Unknown,Medium/Standard,Rajasthan,Wearable Fashion,Unknown,480,,https://www.tribesindia.com/product/block-print-cotton-dupatta
Handwoven Eri Silk Shawl,Handloom Textiles,Eri Silk Weaving,Eri Silk,Unknown,Medium/Standard,Assam,Wearable Fashion,Unknown,6450,,https://www.tribesindia.com/product/handwoven-eri-silk-shawl
Traditional Tribal Nehru Jacket,Handloom Textiles,Tribal Weaving,Handloom Cotton,Unknown,Medium/Standard,Jharkhand,Wearable Fashion,Unknown,1850,,https://www.tribesindia.com/product/traditional-tribal-nehru-jacket
Handwoven Sambalpuri Cotton Saree,Handloom Textiles,Ikat Weaving,Cotton,Unknown,Large/Display,Odisha,Wearable Fashion,Unknown,3200,,https://www.tribesindia.com/product/sambalpuri-cotton-saree
Handwoven Tussar Silk Stole,Handloom Textiles,Tussar Weaving,Tussar Silk,Unknown,Medium/Standard,Chhattisgarh,Wearable Fashion,Unknown,1750,,https://www.tribesindia.com/product/tussar-silk-stole
Carved Sheesham Wooden Jewelry Box,Woodcraft,Wood Carving,Sheesham Wood,Unknown,Small/Miniature,Uttar Pradesh,Home Decor / Exhibition,Unknown,950,,https://www.tribesindia.com/product/sheesham-wooden-jewelry-box
Kondapalli Hand-carved Wooden Toy Set,Woodcraft,Toy Carving,Softwood,Unknown,Small/Miniature,Andhra Pradesh,Home Decor / Exhibition,Unknown,550,,https://www.tribesindia.com/product/kondapalli-wooden-toy-set
Hand-carved Teak Wooden Temple Mandir,Woodcraft,Architectural Carving,Teak Wood,Unknown,Large/Display,Rajasthan,Festive & Ritual,Unknown,9500,,https://www.tribesindia.com/product/wooden-temple-mandir
Saharanpur Carved Wooden Serving Tray,Woodcraft,Wood Carving,Sheesham Wood,Unknown,Medium/Standard,Uttar Pradesh,Kitchenware & Utility,Unknown,680,,https://www.tribesindia.com/product/saharanpur-wooden-serving-tray
Handwoven Bamboo Fruit Basket,Bamboo & Cane,Basketry,Bamboo,Unknown,Small/Miniature,Assam,Kitchenware & Utility,Unknown,350,,https://www.tribesindia.com/product/bamboo-fruit-basket
Handwoven Cane Floor Lamp Shade,Bamboo & Cane,Cane Craft,Cane,Unknown,Large/Display,Tripura,Home Decor / Exhibition,Unknown,1650,,https://www.tribesindia.com/product/cane-floor-lamp-shade
Handwoven Sabai Grass Storage Box,Bamboo & Cane,Grass Weaving,Sabai Grass,Unknown,Small/Miniature,Odisha,Kitchenware & Utility,Unknown,380,,https://www.tribesindia.com/product/sabai-grass-storage-box
Handwoven Bamboo Table Mat Set,Bamboo & Cane,Bamboo Weaving,Bamboo,Unknown,Medium/Standard,Manipur,Kitchenware & Utility,Unknown,420,,https://www.tribesindia.com/product/bamboo-table-mat-set
Kauna Grass Utility Tote Bag,Bamboo & Cane,Kauna Weaving,Kauna Reed Grass,Unknown,Medium/Standard,Manipur,Wearable Fashion,Unknown,650,,https://www.tribesindia.com/product/kauna-grass-tote-bag
Terracotta Decorative Festive Diya Set,Pottery & Terracotta,Clay Pottery,Terracotta Clay,Unknown,Small/Miniature,Rajasthan,Festive & Ritual,Unknown,250,,https://www.tribesindia.com/product/terracotta-festive-diya-set
Terracotta Clay Water Container Pot,Pottery & Terracotta,Clay Pottery,Terracotta Clay,Unknown,Medium/Standard,West Bengal,Kitchenware & Utility,Unknown,450,,https://www.tribesindia.com/product/terracotta-water-container-pot
Handcrafted Blue Pottery Ceramic Vase,Pottery & Terracotta,Blue Pottery,Quartz Ceramic,Unknown,Medium/Standard,Rajasthan,Home Decor / Exhibition,Unknown,1200,,https://www.tribesindia.com/product/blue-pottery-ceramic-vase
Terracotta Handpainted Kulhad Set,Pottery & Terracotta,Clay Pottery,Terracotta Clay,Unknown,Small/Miniature,Uttar Pradesh,Kitchenware & Utility,Unknown,220,,https://www.tribesindia.com/product/terracotta-kulhad-set
Handmade Clay Decorative Wall Plate,Pottery & Terracotta,Terracotta Craft,Terracotta Clay,Unknown,Medium/Standard,Gujarat,Home Decor / Exhibition,Unknown,580,,https://www.tribesindia.com/product/clay-decorative-wall-plate
Handpainted Madhubani Peacock Canvas Painting,Folk Painting & Tribal Art,Madhubani Painting,Canvas & Natural Pigments,Unknown,Medium/Standard,Bihar,Home Decor / Exhibition,Unknown,850,,https://www.tribesindia.com/product/madhubani-peacock-canvas-painting
Traditional Warli Tribal Canvas Art,Folk Painting & Tribal Art,Warli Painting,Canvas & Rice Paste,Unknown,Medium/Standard,Maharashtra,Home Decor / Exhibition,Unknown,1250,,https://www.tribesindia.com/product/warli-tribal-canvas-art
Handpainted Pithora Tribal Canvas Painting,Folk Painting & Tribal Art,Pithora Painting,Canvas & Natural Pigments,Unknown,Medium/Standard,Gujarat,Home Decor / Exhibition,Unknown,2450,,https://www.tribesindia.com/product/pithora-tribal-canvas-painting
Handpainted Tanjore Gold Leaf Wooden Frame,Folk Painting & Tribal Art,Tanjore Art,Wood & Gold Leaf,Unknown,Medium/Standard,Tamil Nadu,Festive & Ritual,Unknown,6200,,https://www.tribesindia.com/product/tanjore-gold-leaf-frame
Handcrafted Brass Peacock Tealight Holder,Metalwork & Brassware,Brass Engraving,Pure Brass,Unknown,Small/Miniature,Uttar Pradesh,Home Decor / Exhibition,Unknown,750,,https://www.tribesindia.com/product/brass-peacock-tealight-holder
Brass Woven Lattice Hanging Lamp,Metalwork & Brassware,Brass Sheet Craft,Pure Brass,Unknown,Medium/Standard,Uttar Pradesh,Home Decor / Exhibition,Unknown,2400,,https://www.tribesindia.com/product/brass-woven-lattice-hanging-lamp
Tribal Brass Dhokra Horse Figurine,Metalwork & Brassware,Dhokra Casting,Bronze & Bell Metal,Unknown,Large/Display,Odisha,Home Decor / Exhibition,Unknown,2800,,https://www.tribesindia.com/product/brass-dhokra-horse-figurine
Vaijayanti Seed Mala,Jewellery & Accessories,Natural Seed Jewelry,Vaijayanti Seeds,Unknown,Small/Miniature,Uttarakhand,Festive & Ritual,Unknown,198,,https://www.tribesindia.com/product/vaijayanti-mala
Herbal Tea Spice Incense Gift Box,Other Handicrafts,Artisan Gift Assortment,Natural Herbs & Spices,Unknown,Medium/Standard,Uttarakhand,Festive & Ritual,Unknown,859,,https://www.cottageemporium.in/product/herbal-tea-spice-incense-gift-box
Vrindawan Flower Incense Sticks 100 Pack,Other Handicrafts,Natural Incense Craft,Dried Flower Petals & Resins,Unknown,Small/Miniature,Uttar Pradesh,Festive & Ritual,Unknown,195,,https://www.cottageemporium.in/product/vrindawan-flower-incense-sticks
Wooden Carved Elephant Wall Panel,Woodcraft,Relief Wood Carving,Sheesham Wood,Unknown,Medium/Standard,Karnataka,Home Decor / Exhibition,Unknown,2800,,https://www.tribesindia.com/product/wooden-carved-elephant-wall-panel
