product_id,product_name,product_name_hindi,primary_category,secondary_category,tertiary_category,product_type,price_range,target_demographic,seasonal_relevance,primary_keywords,related_categories,purchase_frequency
D81C709C,RD Sharma Mathematics for Class 12,आरडी शर्मा गणित कक्षा 12 के लिए,Books & Stationery,Educational,Exam Prep,Exam Prep,Budget,8-15 Years Teens,Back-to-School,"exam prep, rd, educational, budget, 8-15, books & stationery","Textbooks, Stationery",Occasionally
8D8C3EA6,Funskool Giggles Stacking Drums,फनस्कूल गिगल्स स्टैकिंग ड्रम्स,Toys & Baby Products,Toys,Creative & Learning,Creative & Learning,Budget,0-3 Years Infants,Year-round,"creative & learning, budget, toys, 0-3, funskool, toys & baby products","Action & Play, Baby Care",Occasionally
7876BD09,RD Sharma Mathematics for Class 12,आरडी शर्मा गणित कक्षा 12 के लिए,Books & Stationery,Educational,Exam Prep,Exam Prep,Mid-range,8-15 Years Teens,Back-to-School,"exam prep, rd, educational, mid-range, 8-15, books & stationery","Textbooks, Fiction & Non-Fiction",Occasionally
9C14A024,"HP 15s Laptop (Ryzen 5, 16GB RAM, 128GB Storage, Silver)","HP 15s Laptop (Ryzen 5, 16GB RAM, 128GB Storage, Silver) (Hindi)",Electronics,Computers & Laptops,Laptops,Laptops,Mid-range,18-35 Female,Year-round,"16gb ram, 128gb storage, hp, laptops, computers & laptops, mid-range, 18-35, silver","Peripherals, Mobiles & Accessories",Occasionally
3F19D47F,"HP 15s Laptop (Ryzen 5, 6GB RAM, 512GB Storage, Black)","HP 15s Laptop (Ryzen 5, 6GB RAM, 512GB Storage, Black) (Hindi)",Electronics,Computers & Laptops,Laptops,Laptops,Premium,25-50 All Genders,Year-round,"computers & laptops, 512gb storage, black, premium, hp, 25-50, laptops, 6gb ram","Peripherals, Home Appliances",Occasionally
79E8A9FD,AmazonBasics High-Speed HDMI Cable (6 Feet),अमेज़न बेसिक्स हाई-स्पीड एचडीएमआई केबल (6 फीट),Electronics,Mobiles & Accessories,Accessories,Accessories,Budget,All Ages,Year-round,"amazonbasics, accessories, budget, mobiles & accessories, electronics, all ages","Smartphones, Audio & Video",Occasionally
596D3115,Dove Intense Repair Shampoo (500ml),Dove Intense Repair Shampoo (500ml) (Hindi),Personal Care,Haircare,Shampoo,Shampoo,Budget,15-40 All Genders,Year-round,"shampoo, 500ml, haircare, dove, budget, 15-40, personal care","Conditioner & Oil, Skincare",Monthly
C7E4B31F,HP DeskJet 2331 All-in-One Inkjet Colour Printer,एचपी डेस्कजेट 2331 ऑल-इन-वन इंकजेट कलर प्रिंटर,Books & Stationery,Office Supplies,Essentials,Essentials,Mid-range,25-50 All Genders,Year-round,"office supplies, hp, essentials, mid-range, 25-50, books & stationery","Stationery, Educational",Occasionally
1B346C8D,"Lakmé Eyeconic Kajal (Deep Black, 0.35g)","लैक्मे आइकोनिक काजल (डीप ब्लैक, 0.35 ग्राम)",Personal Care,Makeup & Cosmetics,Eye Makeup,Eye Makeup,Budget,16-40 Female,Year-round,"lakmé, makeup & cosmetics, eye makeup, budget, personal care, 16-40","Lip Makeup, Nail Polish",Occasionally
4D3E344D,"HP 15s Laptop (Ryzen 5, 8GB RAM, 256GB Storage, Blue)","HP 15s Laptop (Ryzen 5, 8GB RAM, 256GB Storage, Blue) (Hindi)",Electronics,Computers & Laptops,Laptops,Laptops,Premium,25-50 All Genders,Year-round,"256gb storage, hp, blue, laptops, computers & laptops, premium, 25-50, 8gb ram","Peripherals, Mobiles & Accessories",Occasionally
78A37A3A,"Lakmé Eyeconic Kajal (Deep Black, 0.35g)","लैक्मे आइकोनिक काजल (डीप ब्लैक, 0.35 ग्राम)",Personal Care,Makeup & Cosmetics,Eye Makeup,Eye Makeup,Budget,16-40 Female,Year-round,"lakmé, makeup & cosmetics, eye makeup, budget, personal care, 16-40","Lip Makeup, Nail Polish",Occasionally
36B4887D,Himalaya Purifying Neem Face Wash (50ml),Himalaya Purifying Neem Face Wash (50ml) (Hindi),Personal Care,Skincare,Face Wash,Face Wash,Budget,15-40 All Genders,Year-round,"face wash, 50ml, himalaya, skincare, budget, 15-40, personal care","Haircare, Bath & Body",Monthly
AF6E677C,"FabIndia Men's Cotton Full Sleeve Blue Kurta (Blue, XL)","FabIndia Men's Cotton Full Sleeve Blue Kurta (Blue, XL) (Hindi)",Clothing & Apparel,Men's Wear,Ethnic,Ethnic,Budget,25-50 Male,Festival,"men's wear, clothing & apparel, blue, budget, fabindia, ethnic, 25-50, xl","Western, Accessories",Occasionally
89B94824,Logitech K380 Multi-Device Bluetooth Keyboard (Rose),लॉजिटेक K380 मल्टी-डिवाइस ब्लूटूथ कीबोर्ड (रोज़),Electronics,Mobiles & Accessories,Accessories,Accessories,Mid-range,18-35 Female,Year-round,"accessories, logitech, mid-range, mobiles & accessories, 18-35, electronics","Smartphones, Computers & Laptops",Occasionally
F5C762EC,LuvLap Sunshine Baby Stroller (Blue),लवलैप सनशाइन बेबी स्ट्रॉलर (नीला),Toys & Baby Products,Baby Gear & Safety,Travel Gear,Travel Gear,Premium,0-3 Years Infants,Year-round,"travel gear, baby gear & safety, 0-3, toys & baby products, luvlap, premium","Nursery, Baby Care",Occasionally
9D86AF51,Patanjali Divya Chyawanprash (1kg),पतंजलि दिव्य च्यवनप्राश (1 किलो),Personal Care,Wellness,Supplements & Ayurvedic,Supplements & Ayurvedic,Budget,All Ages,Winter,"patanjali, wellness, supplements & ayurvedic, budget, personal care, 1kg, all ages","Feminine Hygiene, Skincare",Occasionally
ED61D457,"Myprotein Impact Whey Protein (1kg, Chocolate Smooth)","मायप्रोटीन इम्पैक्ट व्हे प्रोटीन (1 किलो, चॉकलेट स्मूथ)",Sports & Fitness,Supplements,Protein,Protein,Premium,18-35 Male,Year-round,"myprotein, supplements, protein, premium, 18-35, sports & fitness","Vitamins, Fitness Accessories",Monthly
80E16936,"Fast&Up Charge Vitamin C & Zinc Effervescent Tablets (Orange, 60 Tablets)","फास्ट&अप चार्ज विटामिन सी और जिंक एफ़र्जेसेंट टैबलेट्स (ऑरेंज, 60 टैबलेट)",Sports & Fitness,Supplements,Vitamins,Vitamins,Budget,25-50 All Genders,Year-round,"vitamins, fast&up, budget, 25-50, supplements, sports & fitness","Protein, Apparel",Monthly
D63075F8,"Nivia Storm Football (Size 5, White/Black)","निविया स्टॉर्म फुटबॉल (साइज़ 5, सफेद/काला)",Sports & Fitness,Equipment,Sports Gear,Sports Gear,Budget,10+ All Genders,Year-round,"equipment, sports gear, budget, nivia, 10+, sports & fitness","Fitness Gear, Apparel",Occasionally
F6F9170D,"Pampers Premium Care Pants Diapers (Medium, 76 Count)","पैम्पर्स प्रीमियम केयर पैन्ट्स डायपर (मीडियम, 76 काउंट)",Toys & Baby Products,Baby Care,Diapers & Wipes,Diapers & Wipes,Premium,0-18 Months Infants,Year-round,"baby care, diapers & wipes, premium, pampers, 0-18, toys & baby products","Bath & Skin, Baby Gear & Safety",Weekly
71A6D31C,Prestige Svachh Nakshatra Aluminium Pressure Cooker (5 Litre),प्रेस्टीज स्वच्छ नक्षत्र एल्युमीनियम प्रेशर कुकर (5 लीटर),Home & Kitchen,Cookware,Pots & Pans,Pots & Pans,Budget,All Ages,Year-round,"cookware, prestige, 5 litre, pots & pans, budget, home & kitchen, all ages","Utensils, Kitchen Appliances",Occasionally
8862F0B7,"Pampers Premium Care Pants Diapers (Medium, 76 Count)","पैम्पर्स प्रीमियम केयर पैन्ट्स डायपर (मीडियम, 76 काउंट)",Toys & Baby Products,Baby Care,Diapers & Wipes,Diapers & Wipes,Mid-range,0-3 Years Infants,Year-round,"diapers & wipes, mid-range, pampers, 0-3, baby care, toys & baby products","Bath & Skin, Feeding & Nursing",Weekly
9E3E401E,"Levi's Men's 511 Slim Fit Jeans (Black, L)","Levi's Men's 511 Slim Fit Jeans (Black, L) (Hindi)",Clothing & Apparel,Men's Wear,Western,Western,Premium,18-35 Male,Year-round,"western, levi's, black, l, men's wear, clothing & apparel, premium, 18-35","Ethnic, Accessories",Occasionally
B7285462,"Solimo Microfibre Reversible Comforter (Single, Aqua Blue & Olive Green)","सोलिमो माइक्रोफाइबर रिवर्सिबल कम्फर्टर (सिंगल, एक्वा ब्लू और ऑलिव ग्रीन)",Home & Kitchen,Home Decor,Furnishings,Furnishings,Mid-range,All Ages,Winter,"furnishings, solimo, mid-range, home decor, home & kitchen, all ages","Lighting & Decor, Storage & Organization",Occasionally
421C0B8D,Mamaearth Ubtan Face Wash with Turmeric & Saffron (150ml),Mamaearth Ubtan Face Wash with Turmeric & Saffron (150ml) (Hindi),Personal Care,Skincare,Face Wash,Face Wash,Budget,15-40 All Genders,Year-round,"face wash, mamaearth, 150ml, skincare, budget, 15-40, personal care","Haircare, Makeup & Cosmetics",Monthly
1A22B8A4,"Fast&Up Charge Vitamin C & Zinc Effervescent Tablets (Orange, 60 Tablets)","फास्ट&अप चार्ज विटामिन सी और जिंक एफ़र्जेसेंट टैबलेट्स (ऑरेंज, 60 टैबलेट)",Sports & Fitness,Supplements,Vitamins,Vitamins,Budget,25-50 All Genders,Year-round,"vitamins, fast&up, budget, 25-50, supplements, sports & fitness","Protein, Equipment",Monthly
AB1C88C2,Strauss Adjustable Hand Grip Strengthener,स्ट्रॉस एडजस्टेबल हैंड ग्रिप स्ट्रेंथनर,Sports & Fitness,Equipment,Fitness Gear,Fitness Gear,Budget,18-35 Male,Year-round,"fitness gear, strauss, equipment, budget, 18-35, sports & fitness","Sports Gear, Fitness Accessories",Occasionally
51564D9A,L'Oreal Paris Total Repair 5 Conditioner (192.5ml),लॉरियल पेरिस टोटल रिपेयर 5 कंडीशनर (192.5 मिली),Personal Care,Haircare,Conditioner & Oil,Conditioner & Oil,Mid-range,18-35 Female,Year-round,"conditioner & oil, l'oreal, haircare, mid-range, 18-35, personal care","Shampoo, Skincare",Monthly
BFE36456,Prestige Svachh Nakshatra Aluminium Pressure Cooker (3 Litre),Prestige Svachh Nakshatra Aluminium Pressure Cooker (3 Litre) (Hindi),Home & Kitchen,Cookware,Pots & Pans,Pots & Pans,Budget,All Ages,Year-round,"cookware, 3 litre, prestige, pots & pans, budget, home & kitchen, all ages","Utensils, Kitchen Appliances",Occasionally
9A5A02D8,"Wipro Garnet 12W LED Batten (Cool Day Light, Pack of 2)","विप्रो गार्नेट 12W एलईडी बैटन (कूल डे लाइट, 2 का पैक)",Electronics,Audio & Video,Lighting,Lighting,Mid-range,All Ages,Year-round,"lighting, wipro, mid-range, audio & video, electronics, all ages","Speakers, Home Appliances",Occasionally
4E38E57A,"Levi's Men's 511 Slim Fit Jeans (Red, S)","Levi's Men's 511 Slim Fit Jeans (Red, S) (Hindi)",Clothing & Apparel,Men's Wear,Western,Western,Budget,18-35 Male,Year-round,"western, s, levi's, men's wear, clothing & apparel, budget, 18-35, red","Ethnic, Women's Wear",Occasionally
206B531B,"Nivia Storm Football (Size 5, White/Black)","निविया स्टॉर्म फुटबॉल (साइज़ 5, सफेद/काला)",Sports & Fitness,Equipment,Sports Gear,Sports Gear,Premium,10+ All Genders,Year-round,"equipment, sports gear, nivia, premium, 10+, sports & fitness","Fitness Gear, Apparel",Occasionally
DB568829,"Pampers Premium Care Pants Diapers (Medium, 76 Count)","पैम्पर्स प्रीमियम केयर पैन्ट्स डायपर (मीडियम, 76 काउंट)",Toys & Baby Products,Baby Care,Diapers & Wipes,Diapers & Wipes,Budget,0-3 Years Infants,Year-round,"diapers & wipes, budget, pampers, 0-3, baby care, toys & baby products","Bath & Skin, Feeding & Nursing",Weekly
89B44C13,"LG 6.5 Kg Top Load Washing Machine (Smart Inverter, Middle Free Silver)","एलजी 6.5 किलो टॉप लोड वॉशिंग मशीन (स्मार्ट इन्वर्टर, मिडिल फ्री सिल्वर)",Electronics,Home Appliances,Large Appliances,Large Appliances,Mid-range,All Ages,Year-round,"large appliances, lg, mid-range, home appliances, electronics, all ages","Small Appliances, Audio & Video",Occasionally
7F00F390,"Nivia Storm Football (Size 5, White/Black)","निविया स्टॉर्म फुटबॉल (साइज़ 5, सफेद/काला)",Sports & Fitness,Equipment,Sports Gear,Sports Gear,Budget,10+ All Genders,Year-round,"equipment, sports gear, budget, nivia, 10+, sports & fitness","Fitness Gear, Fitness Accessories",Occasionally
7003101E,Mamaearth Ubtan Face Wash with Turmeric & Saffron (200ml),Mamaearth Ubtan Face Wash with Turmeric & Saffron (200ml) (Hindi),Personal Care,Skincare,Face Wash,Face Wash,Budget,15-40 All Genders,Year-round,"face wash, mamaearth, 200ml, skincare, budget, 15-40, personal care","Haircare, Makeup & Cosmetics",Monthly
2AE1F426,Asian Paints TruCare Wall Putty (5kg),एशियन पेंट्स ट्रूकेयर वॉल पुट्टी (5 किलो),Home & Kitchen,Home Decor,Furnishings,Furnishings,Budget,All Ages,Monsoon,"furnishings, asian, budget, home decor, home & kitchen, all ages","Lighting & Decor, Storage & Organization",Occasionally
01951C2E,Himalaya Purifying Neem Face Wash (150ml),हिमालय प्यूरीफाइंग नीम फेस वॉश (150 मिली),Personal Care,Skincare,Face Wash,Face Wash,Premium,15-40 All Genders,Year-round,"face wash, himalaya, skincare, premium, 15-40, personal care, 150ml","Moisturizers, Haircare",Monthly
58D6459A,"Fast&Up Charge Vitamin C & Zinc Effervescent Tablets (Orange, 60 Tablets)","फास्ट&अप चार्ज विटामिन सी और जिंक एफ़र्जेसेंट टैबलेट्स (ऑरेंज, 60 टैबलेट)",Sports & Fitness,Supplements,Vitamins,Vitamins,Budget,25-50 All Genders,Year-round,"vitamins, fast&up, budget, 25-50, supplements, sports & fitness","Protein, Equipment",Monthly
0D438C5A,Objective General English by S.P. Bakshi (Arihant Publications),एस.पी. बख्शी द्वारा ऑब्जेक्टिव जनरल इंग्लिश (अरिहंत प्रकाशन),Books & Stationery,Educational,Exam Prep,Exam Prep,Budget,18-30 All Genders,Year-round,"exam prep, s.p., educational, budget, 18-30, books & stationery","Textbooks, Fiction & Non-Fiction",Occasionally
80F86969,Aashirvaad Select Sharbati Atta (2kg),Aashirvaad Select Sharbati Atta (2kg) (Hindi),Food & Grocery,Staples,Grains & Flour,Grains & Flour,Budget,All Ages,Year-round,"grains & flour, staples, aashirvaad, 2kg, budget, food & grocery, all ages","Oils & Ghee, Spices & Masalas",Weekly
BC6789A6,"Optimum Nutrition (ON) Gold Standard 100% Whey Protein Powder (2 lbs, Double Rich Chocolate)","ऑप्टिमम न्यूट्रिशन (ON) गोल्ड स्टैंडर्ड 100% व्हे प्रोटीन पाउडर (2 एलबीएस, डबल रिच चॉकलेट)",Sports & Fitness,Supplements,Protein,Protein,Budget,18-35 Male,Year-round,"optimum, supplements, budget, protein, 18-35, sports & fitness","Vitamins, Fitness Accessories",Monthly
5C5945CD,The Psychology of Money by Morgan Housel,मॉर्गन हाउसल द्वारा द साइकोलॉजी ऑफ मनी,Books & Stationery,Fiction & Non-Fiction,Popular Titles,Popular Titles,Budget,25-50 All Genders,Year-round,"fiction & non-fiction, popular titles, psychology, budget, 25-50, books & stationery","Indian Authors, Stationery",Occasionally
4D4550C3,Aashirvaad Select Sharbati Atta (1kg),Aashirvaad Select Sharbati Atta (1kg) (Hindi),Food & Grocery,Staples,Grains & Flour,Grains & Flour,Mid-range,All Ages,Year-round,"staples, grains & flour, mid-range, aashirvaad, food & grocery, all ages, 1kg","Oils & Ghee, Packaged Foods",Weekly
0F994926,"Levi's Men's 511 Slim Fit Jeans (Blue, XXL)","Levi's Men's 511 Slim Fit Jeans (Blue, XXL) (Hindi)",Clothing & Apparel,Men's Wear,Western,Western,Budget,18-35 Male,Year-round,"western, levi's, men's wear, clothing & apparel, budget, 18-35, blue, xxl","Ethnic, Accessories",Occasionally
64CF20B0,"Levi's Men's 511 Slim Fit Jeans (White, S)","Levi's Men's 511 Slim Fit Jeans (White, S) (Hindi)",Clothing & Apparel,Men's Wear,Western,Western,Mid-range,18-35 Male,Summer,"western, s, white, levi's, mid-range, men's wear, clothing & apparel, 18-35","Ethnic, Accessories",Occasionally
3DC720F5,Maggi 2-Minute Instant Noodles Masala (Pack of 6),Maggi 2-Minute Instant Noodles Masala (Pack of 6) (Hindi),Food & Grocery,Packaged Foods,Noodles & Pasta,Noodles & Pasta,Budget,All Ages,Year-round,"noodles & pasta, pack of 6, maggi, budget, packaged foods, food & grocery, all ages","Biscuits & Cookies, Snacks",Weekly
D65C82DA,"Nayasa Plastic Kitchen Storage Container Set (Set of 3, Blue)","Nayasa Plastic Kitchen Storage Container Set (Set of 3, Blue) (Hindi)",Home & Kitchen,Storage & Organization,Kitchen Storage,Kitchen Storage,Budget,All Ages,Year-round,"kitchen storage, budget, set of 3, nayasa, home & kitchen, all ages, storage & organization","Home Storage, Kitchen Appliances",Occasionally
283DA853,"Boldfit Yoga Mat for Women and Men (6mm Extra Thick, Blue)","बोल्डफिट योगा मैट महिलाओं और पुरुषों के लिए (6 मिमी अतिरिक्त मोटा, नीला)",Sports & Fitness,Equipment,Fitness Gear,Fitness Gear,Budget,All Ages,Year-round,"fitness gear, boldfit, equipment, budget, sports & fitness, all ages","Sports Gear, Apparel",Occasionally
1169B3E6,"Levi's Men's 511 Slim Fit Jeans (Blue, M)","Levi's Men's 511 Slim Fit Jeans (Blue, M) (Hindi)",Clothing & Apparel,Men's Wear,Western,Western,Mid-range,18-35 Male,Year-round,"men's wear, m, mid-range, clothing & apparel, blue, western, levi's, 18-35","Ethnic, Accessories",Occasionally
1F1F49C7,"Lakmé Eyeconic Kajal (Deep Black, 0.35g)","लैक्मे आइकोनिक काजल (डीप ब्लैक, 0.35 ग्राम)",Personal Care,Makeup & Cosmetics,Eye Makeup,Eye Makeup,Budget,16-40 Female,Year-round,"lakmé, makeup & cosmetics, eye makeup, budget, personal care, 16-40","Lip Makeup, Wellness",Occasionally
A26E690B,Aashirvaad Select Sharbati Atta (5kg Pack),आशीर्वाद सेलेक्ट शरबती आटा (5 किलो पैक),Food & Grocery,Staples,Grains & Flour,Grains & Flour,Budget,All Ages,Year-round,"grains & flour, staples, aashirvaad, budget, 5kg pack, food & grocery, all ages","Oils & Ghee, Packaged Foods",Weekly
F7C571D1,Maggi 2-Minute Instant Noodles Masala (Pack of 12),"मैगी 2-मिनट इंस्टेंट नूडल्स मसाला (70 ग्राम, 12 का पैक)",Food & Grocery,Packaged Foods,Noodles & Pasta,Noodles & Pasta,Budget,All Ages,Year-round,"noodles & pasta, pack of 12, maggi, budget, packaged foods, food & grocery, all ages","Biscuits & Cookies, Snacks",Weekly
851D6B5C,"FabIndia Men's Cotton Full Sleeve Blue Kurta (Blue, L)","FabIndia Men's Cotton Full Sleeve Blue Kurta (Blue, L) (Hindi)",Clothing & Apparel,Men's Wear,Ethnic,Ethnic,Mid-range,25-50 Male,Festival,"men's wear, mid-range, l, clothing & apparel, blue, fabindia, ethnic, 25-50","Western, Accessories",Occasionally
AF90733C,"FabIndia Men's Cotton Full Sleeve Blue Kurta (White, L)","FabIndia Men's Cotton Full Sleeve Blue Kurta (White, L) (Hindi)",Clothing & Apparel,Men's Wear,Ethnic,Ethnic,Budget,25-50 Male,Festival,"men's wear, white, l, clothing & apparel, budget, fabindia, ethnic, 25-50","Western, Kid's Wear",Occasionally
A512353B,"HP 15s Laptop (Ryzen 5, 8GB RAM, 512GB Storage, Grey)","HP 15s Laptop (Ryzen 5, 8GB RAM, 512GB Storage, Grey) (Hindi)",Electronics,Computers & Laptops,Laptops,Laptops,Budget,25-50 All Genders,Year-round,"computers & laptops, 512gb storage, budget, hp, grey, 25-50, laptops, 8gb ram","Peripherals, Home Appliances",Occasionally
