product_name,craft_category,craft_type,primary_material,crafting_time,size_complexity,artisan_region,utility_type,target_demographic,actual_price,price_range,source_url
Dhokra Brass Tribal Bull Statue,Metalwork & Brassware,Dhokra Casting,Pure Brass,Unknown,Medium/Standard,Odisha,Home Decor / Exhibition,Unknown,1850,,https://www.tribesindia.com/product/dhokra-brass-tribal-bull-statue
Bidriware Silver Inlay Small Trinket Box,Metalwork & Brassware,Bidriware Silver Inlay,Zinc Copper Alloy & Silver,Unknown,Small/Miniature,Karnataka,Home Decor / Exhibition,Unknown,3200,,https://www.tribesindia.com/product/bidriware-silver-inlay-trinket-box
Bidriware Silver Inlay Decorative Wall Plate,Metalwork & Brassware,Bidriware Silver Inlay,Zinc Copper Alloy & Silver,Unknown,Medium/Standard,Karnataka,Home Decor / Exhibition,Unknown,12500,,https://www.tribesindia.com/product/bidriware-silver-inlay-wall-plate
Handcrafted Sheesham Wooden Coaster Set of 6,Woodcraft,Wood Carving,Sheesham Wood,Unknown,Small/Miniature,Uttar Pradesh,Kitchenware & Utility,Unknown,490,,https://www.tribesindia.com/product/sheesham-wooden-coaster-set
Carved Sheesham Wooden Spice Jar Holder,Woodcraft,Wood Carving,Sheesham Wood,Unknown,Medium/Standard,Uttar Pradesh,Kitchenware & Utility,Unknown,850,,https://www.tribesindia.com/product/carved-sheesham-spice-jar-holder
Hand-carved Wooden Wall Hanging Jharokha Frame,Woodcraft,Wood Carving,Teak Wood,Unknown,Medium/Standard,Rajasthan,Home Decor / Exhibition,Unknown,3450,,https://www.tribesindia.com/product/wooden-wall-jharokha-frame
Channapatna Handcrafted Wooden Spinning Top Toy,Woodcraft,Lacquer Turnery,Softwood & Vegetable Dyes,Unknown,Small/Miniature,Karnataka,Home Decor / Exhibition,Unknown,195,,https://www.tribesindia.com/product/channapatna-wooden-spinning-top
Terracotta Traditional Kulhad Tea Cups Pack of 6,Pottery & Terracotta,Clay Pottery,Terracotta Clay,Unknown,Small/Miniature,Uttar Pradesh,Kitchenware & Utility,Unknown,320,,https://www.tribesindia.com/product/terracotta-kulhad-cups-pack-6
Terracotta Handpainted Table Lamp Base,Pottery & Terracotta,Clay Pottery,Terracotta Clay,Unknown,Medium/Standard,West Bengal,Home Decor / Exhibition,Unknown,950,,https://www.tribesindia.com/product/terracotta-handpainted-table-lamp
Handpainted Madhubani Fish Motif Paper Painting,Folk Painting & Tribal Art,Madhubani Painting,Handmade Paper & Natural Pigments,Unknown,Small/Miniature,Bihar,Home Decor / Exhibition,Unknown,680,,https://www.tribesindia.com/product/madhubani-fish-motif-paper-painting
Handpainted Madhubani Radha Krishna Canvas Painting,Folk Painting & Tribal Art,Madhubani Painting,Canvas & Natural Pigments,Unknown,Large/Display,Bihar,Home Decor / Exhibition,Unknown,3800,,https://www.tribesindia.com/product/madhubani-radha-krishna-canvas-painting
Handpainted Gond Birds Tree Canvas Painting,Folk Painting & Tribal Art,Gond Painting,Canvas & Acrylics,Unknown,Medium/Standard,Madhya Pradesh,Home Decor / Exhibition,Unknown,1850,,https://www.tribesindia.com/product/gond-birds-tree-canvas-painting
Hand-painted Pattachitra Jagannath Canvas Art,Folk Painting & Tribal Art,Pattachitra Painting,Tussar Silk Canvas,Unknown,Medium/Standard,Odisha,Home Decor / Exhibition,Unknown,2450,,https://www.tribesindia.com/product/pattachitra-jagannath-canvas-art
Handloom Chanderi Cotton Silk Dress Material 3pc,Handloom Textiles,Chanderi Weaving,Cotton & Silk,Unknown,Large/Display,Madhya Pradesh,Wearable Fashion,Unknown,2850,,https://www.tribesindia.com/product/chanderi-cotton-silk-dress-material
Handloom Pure Pashmina Embroidered Stole,Handloom Textiles,Pashmina Weaving,Pashmina Wool,Unknown,Medium/Standard,Jammu & Kashmir,Wearable Fashion,Unknown,9800,,https://www.tribesindia.com/product/pure-pashmina-embroidered-stole
Handloom Banarasi Zari Woven Dupatta,Handloom Textiles,Banarasi Weaving,Silk & Zari,Unknown,Medium/Standard,Uttar Pradesh,Wearable Fashion,Unknown,3450,,https://www.tribesindia.com/product/banarasi-zari-woven-dupatta
Handloom Kota Doria Printed Dupatta,Handloom Textiles,Kota Doria Weaving,Cotton,Unknown,Medium/Standard,Rajasthan,Wearable Fashion,Unknown,850,,https://www.tribesindia.com/product/kota-doria-printed-dupatta
Handwoven Sambalpuri Ikat Cotton Stole,Handloom Textiles,Ikat Weaving,Cotton,Unknown,Medium/Standard,Odisha,Wearable Fashion,Unknown,1250,,https://www.tribesindia.com/product/sambalpuri-ikat-cotton-stole
Handloom Tussar Silk Saree with Temple Border,Handloom Textiles,Tussar Weaving,Tussar Silk,Unknown,Large/Display,Chhattisgarh,Wearable Fashion,Unknown,5200,,https://www.tribesindia.com/product/tussar-silk-saree-temple-border
Handcrafted Dokra Brass Earrings Drop Pair,Jewellery & Accessories,Dhokra Casting,Pure Brass,Unknown,Small/Miniature,Chhattisgarh,Wearable Fashion,Unknown,240,,https://www.tribesindia.com/product/dokra-brass-earrings-drop-pair
Handcrafted Dokra Brass Beaded Necklace,Jewellery & Accessories,Dhokra Casting,Pure Brass & Beads,Unknown,Small/Miniature,Odisha,Wearable Fashion,Unknown,580,,https://www.tribesindia.com/product/dokra-brass-beaded-necklace
Handcrafted Lac Bangles Set of 4 Designer,Jewellery & Accessories,Lac Craft,Lac & Mirrors,Unknown,Small/Miniature,Rajasthan,Wearable Fashion,Unknown,420,,https://www.tribesindia.com/product/lac-bangles-set-4-designer
German Silver Tribal Choker Necklace,Jewellery & Accessories,Tribal Silver Craft,German Silver,Unknown,Medium/Standard,Rajasthan,Wearable Fashion,Unknown,780,,https://www.tribesindia.com/product/german-silver-tribal-choker
Handcrafted Banjara Embroidered Handbag,Jewellery & Accessories,Banjara Embroidery,Cotton & Mirrors,Unknown,Medium/Standard,Gujarat,Wearable Fashion,Unknown,1850,,https://www.tribesindia.com/product/banjara-embroidered-handbag
Handwoven Sabai Grass Coaster Set of 6,Bamboo & Cane,Grass Weaving,Sabai Grass,Unknown,Small/Miniature,Odisha,Kitchenware & Utility,Unknown,280,,https://www.tribesindia.com/product/sabai-grass-coaster-set-6
Handwoven Sabai Grass Table Runner,Bamboo & Cane,Grass Weaving,Sabai Grass,Unknown,Medium/Standard,Odisha,Kitchenware & Utility,Unknown,650,,https://www.tribesindia.com/product/sabai-grass-table-runner
Handwoven Sikki Grass Storage Box with Lid,Bamboo & Cane,Sikki Grass Craft,Sikki Grass,Unknown,Small/Miniature,Bihar,Kitchenware & Utility,Unknown,450,,https://www.tribesindia.com/product/sikki-grass-storage-box-lid
Handwoven Kauna Grass Lunch Box Bag,Bamboo & Cane,Kauna Weaving,Kauna Reed Grass,Unknown,Small/Miniature,Manipur,Wearable Fashion,Unknown,480,,https://www.tribesindia.com/product/kauna-grass-lunch-box-bag
Handcrafted Kashmiri Paper Mache Papier Mache Bauble,Other Handicrafts,Paper Mache Craft,Paper Pulp,Unknown,Small/Miniature,Jammu & Kashmir,Home Decor / Exhibition,Unknown,350,,https://www.tribesindia.com/product/kashmiri-paper-mache-bauble
Handcrafted Kashmiri Paper Mache Flower Vase,Other Handicrafts,Paper Mache Craft,Paper Pulp & Lacquer,Unknown,Medium/Standard,Jammu & Kashmir,Home Decor / Exhibition,Unknown,1450,,https://www.tribesindia.com/product/kashmiri-paper-mache-flower-vase
Handcrafted Shola Pith Wall Hanging Panel,Other Handicrafts,Sholapith Craft,Shola Plant Reed,Unknown,Medium/Standard,West Bengal,Home Decor / Exhibition,Unknown,780,,https://www.tribesindia.com/product/shola-pith-wall-hanging-panel
Handcrafted Coconut Shell Cutlery Set 4pc,Other Handicrafts,Coconut Shell Craft,Coconut Shell,Unknown,Small/Miniature,Kerala,Kitchenware & Utility,Unknown,450,,https://www.tribesindia.com/product/coconut-shell-cutlery-set-4pc
Traditional Lippan Kaam Mud Mirror Clock,Other Handicrafts,Lippan Art,Mud Clay & Mirrors,Unknown,Medium/Standard,Gujarat,Home Decor / Exhibition,Unknown,2100,,https://www.tribesindia.com/product/lippan-kaam-mud-mirror-clock
Handcrafted Marble Inlay Small Jewellery Box,Other Handicrafts,Pietra Dura Inlay,White Marble & Semi-Precious Stones,Unknown,Small/Miniature,Uttar Pradesh,Home Decor / Exhibition,Unknown,2450,,https://www.tribesindia.com/product/marble-inlay-small-jewellery-box
Handcrafted Brass Oil Lamp Diya Stand,Metalwork & Brassware,Brass Casting,Pure Brass,Unknown,Medium/Standard,Uttar Pradesh,Festive & Ritual,Unknown,1150,,https://www.tribesindia.com/product/brass-oil-lamp-diya-stand
Handcrafted Brass Hanging Temple Bell,Metalwork & Brassware,Brass Casting,Pure Brass,Unknown,Medium/Standard,Tamil Nadu,Festive & Ritual,Unknown,1650,,https://www.tribesindia.com/product/brass-hanging-temple-bell
Carved Teak Wooden Wall Clock,Woodcraft,Wood Carving,Teak Wood,Unknown,Medium/Standard,Rajasthan,Home Decor / Exhibition,Unknown,2250,,https://www.tribesindia.com/product/carved-teak-wooden-wall-clock
